cd_identif,cd_identi0,cd_distrit,nm_distrit,sg_distrit,tx_escala,sg_fonte_o,dt_criacao,dt_atualiz,cd_usuario,cd_tipo_di,qt_area_qu,qt_area_me,cd_regiao_,nm_regiao_,cd_regiao0,nm_regiao0,district_name,region_name1,region_name2,subprefecture_name,longitude_district,latitude_district,geometry,longitude_district_centroid,latitude_district_centroid,cd_subpref,qt_area_qu_subprefecture,qt_area_me_subprefecture,geometry_subprefecture,longitude_subpref,latitude_subpref,longitude_subpref_centroid,latitude_subpref_centroid
8583410.0,21.0,67,RIO PEQUENO,RPE,1:5000,GEOGSG,2004-01-01,2026-03-20,,199299399,9.657,9657007.38,4,Oeste,6,Oeste,Rio_Pequeno,West,West,BUTANTA,-46.75691198701934,-23.567536127237464,POINT (-46.75893505918831 -23.571232938227872),-46.75893505918831,-23.571232938227872,10,56.0,56305155.27,POINT (-46.74328724963944 -23.58571521302107),-46.744877401572936,-23.583828369118887,-46.74328724963944,-23.58571521302107
8583465.0,30.0,25,CIDADE TIRADENTES,CTI,1:5000,GEOGSG,2004-01-01,2026-03-20,,199299399,14.939,14939046.96,2,Leste,3,Leste 2,Cidade_Tiradentes,East,East_2,CIDADE_TIRADENTES,-46.398147827802966,-23.589037802183782,POINT (-46.4008478632363 -23.58480117396),-46.4008478632363,-23.58480117396,31,15.0,14939044.97,POINT (-46.40084786129567 -23.584801177152254),-46.39814782776618,-23.589037802468493,-46.40084786129567,-23.584801177152254
8583484.0,24.0,46,JARDIM SAO LUIS,JDS,1:5000,GEOGSG,2004-01-01,2026-03-20,,199299399,26.048,26047523.11,5,Sul,8,Sul 2,Jardim_Sao_Luis,South,South_2,M_BOI_MIRIM,-46.73790739189585,-23.683284464687098,POINT (-46.73940116343161 -23.680726819584393),-46.73940116343161,-23.680726819584393,18,62.0,62411386.53,POINT (-46.75611576434166 -23.701303733994283),-46.76250154998999,-23.69864793458234,-46.75611576434166,-23.701303733994283
8583407.0,8.0,64,PONTE RASA,PRA,1:5000,GEOGSG,2004-01-01,2026-03-20,,199299399,6.597,6596680.61,2,Leste,3,Leste 2,Ponte_Rasa,East,East_2,ERMELINO_MATARAZZO,-46.49617516544668,-23.51708982671524,POINT (-46.49373236474668 -23.515671914653737),-46.49373236474668,-23.515671914653737,22,16.0,15966393.07,POINT (-46.488331784769464 -23.501366492070336),-46.48270411389406,-23.502181905898617,-46.488331784769464,-23.501366492070336
8583488.0,14.0,49,LIBERDADE,LIB,1:5000,GEOGSG,2004-01-01,2026-03-20,,199299399,3.651,3651129.57,1,Centro,1,Centro,Liberdade,Downtown,Downtown,SE,-46.63202888535049,-23.566672223724265,POINT (-46.63195703181422 -23.566954772139947),-46.63195703181422,-23.566954772139947,09,27.0,26665465.09,POINT (-46.639877861796236 -23.548358874509194),-46.649032899745805,-23.547783199875568,-46.639877861796236,-23.548358874509194
8583437.0,18.0,93,VILA PRUDENTE,VPR,1:5000,GEOGSG,2004-01-01,2026-03-20,,199299399,9.525,9525461.96,2,Leste,2,Leste 1,Vila_Prudente,East,East_1,VILA_PRUDENTE,-46.57491628951469,-23.592524368241627,POINT (-46.5727488603309 -23.592497119534062),-46.5727488603309,-23.592497119534062,29,19.0,19199888.84,POINT (-46.55805540868404 -23.59359735603328),-46.56200191051466,-23.593728889913713,-46.55805540868404,-23.59359735603328
8583453.0,3.0,13,CACHOEIRINHA,CAC,1:5000,GEOGSG,2004-01-01,2026-03-20,,199299399,13.572,13571736.73,3,Norte,4,Norte 2,Cachoeirinha,North,Norte 2,CASA_VERDE_LIMAO_CACHOEIRINHA,-46.66365225993569,-23.449498787394607,POINT (-46.66209509051637 -23.45435943816464),-46.66209509051637,-23.45435943816464,04,27.0,27232342.53,POINT (-46.6641685329903 -23.476925833180523),-46.65935694062715,-23.46604664186527,-46.6641685329903,-23.476925833180523
8583416.0,18.0,72,SAO LUCAS,SLU,1:5000,GEOGSG,2004-01-01,2026-03-20,,199299399,9.674,9674427.42,2,Leste,2,Leste 1,Sao_Lucas,East,East_1,VILA_PRUDENTE,-46.54605565185109,-23.59503837434493,POINT (-46.54358754181617 -23.594679330072445),-46.54358754181617,-23.594679330072445,29,19.0,19199888.84,POINT (-46.55805540868404 -23.59359735603328),-46.56200191051466,-23.593728889913713,-46.55805540868404,-23.59359735603328
8583454.0,14.0,14,CAMBUCI,CMB,1:5000,GEOGSG,2004-01-01,2026-03-20,,199299399,3.925,3924676.72,1,Centro,1,Centro,Cambuci,Downtown,Downtown,SE,-46.61367181192048,-23.566353431879456,POINT (-46.616951350021566 -23.56438711550961),-46.616951350021566,-23.56438711550961,09,27.0,26665465.09,POINT (-46.639877861796236 -23.548358874509194),-46.649032899745805,-23.547783199875568,-46.639877861796236,-23.548358874509194
8583433.0,6.0,89,VILA MARIA,VMR,1:5000,GEOGSG,2004-01-01,2026-03-20,,199299399,11.843,11842719.47,3,Norte,5,Norte 1,Vila_Maria,North,North_1,VILA_MARIA_VILA_GUILHERME,-46.57577677356068,-23.51259778946486,POINT (-46.57778655699221 -23.51303580498313),-46.57778655699221,-23.51303580498313,07,27.0,26899223.48,POINT (-46.58522728862155 -23.50490715188926),-46.58819470049616,-23.501041772945488,-46.58522728862155,-23.50490715188926
8583442.0,22.0,2,ALTO DE PINHEIROS,API,1:5000,GEOGSG,2004-01-01,2026-03-20,,199299399,7.461,7461412.62,4,Oeste,6,Oeste,Alto_de_Pinheiros,West,West,PINHEIROS,-46.71262969574642,-23.549184031347025,POINT (-46.711955668219936 -23.54761306475934),-46.711955668219936,-23.54761306475934,11,32.0,31993530.49,POINT (-46.688827903964736 -23.573249515615593),-46.679550015489255,-23.58097230269371,-46.688827903964736,-23.573249515615593
8583467.0,19.0,27,CURSINO,CUR,1:5000,GEOGSG,2004-01-01,2026-03-20,,199299399,11.944,11943896.15,5,Sul,7,Sul 1,Cursino,South,South_1,IPIRANGA,-46.61944790995474,-23.63255598474924,POINT (-46.62068785257051 -23.63119747696018),-46.62068785257051,-23.63119747696018,13,37.0,37497323.0,POINT (-46.606711712553334 -23.6194885138051),-46.6049000924512,-23.619868543136572,-46.606711712553334,-23.6194885138051
8583418.0,9.0,74,SAO MIGUEL,SMI,1:5000,GEOGSG,2004-01-01,2026-03-20,,199299399,8.627,8626796.94,2,Leste,3,Leste 2,Sao_Miguel,East,East_2,SAO_MIGUEL,-46.438389537635544,-23.502799522629903,POINT (-46.44079800520967 -23.501076669397136),-46.44079800520967,-23.501076669397136,23,26.0,26159228.21,POINT (-46.43750291194303 -23.495421567696177),-46.448025473659676,-23.497991429924486,-46.43750291194303,-23.495421567696177
