year,zone,subprefecture_name_original,subprefecture_name,district_name_original,district_name,population
2015,Downtown,Sé,SE,Bela Vista,Bela_Vista,65927
2015,Downtown,Sé,SE,Bom Retiro,Bom_Retiro,33829
2015,Downtown,Sé,SE,Cambuci,Cambuci,40461
2015,Downtown,Sé,SE,Consolação,Consolacao,56206
2015,Downtown,Sé,SE,Liberdade,Liberdade,68390
2015,Downtown,Sé,SE,República,Republica,58872
2015,Downtown,Sé,SE,Santa Cecília,Santa_Cecilia,83013
2015,Downtown,Sé,SE,Sé,Se,23956
2015,East_1,Mooca,MOOCA,Água Rasa,Agua_Rasa,86402
2015,East_1,Aricanduva/Formosa/Carrão,ARICANDUVA_FORMOSA_CARRAO,Aricanduva,Aricanduva,90552
2015,East_1,Penha,PENHA,Artur Alvim,Artur_Alvim,102465
2015,East_1,Mooca,MOOCA,Belém,Belem,49514
2015,East_1,Mooca,MOOCA,Brás,Bras,33153
2015,East_1,Penha,PENHA,Cangaíba,Cangaiba,139622
2015,East_1,Aricanduva/Formosa/Carrão,ARICANDUVA_FORMOSA_CARRAO,Carrão,Carrao,84825
2015,East_1,Mooca,MOOCA,Moóca,Mooca,78848
2015,East_1,Mooca,MOOCA,Pari,Pari,17370
2015,East_1,Penha,PENHA,Penha,Penha,131070
2015,East_1,Vila Prudente,VILA_PRUDENTE,São Lucas,Sao_Lucas,142110
2015,East_1,Sapopemba,SAPOPEMBA,Sapopemba,Sapopemba,280098
2015,East_1,Mooca,MOOCA,Tatuapé,Tatuape,95445
2015,East_1,Aricanduva/Formosa/Carrão,ARICANDUVA_FORMOSA_CARRAO,Vila Formosa,Vila_Formosa,94892
2015,East_1,Penha,PENHA,Vila Matilde,Vila_Matilde,105417
2015,East_1,Vila Prudente,VILA_PRUDENTE,Vila Prudente,Vila_Prudente,105621
2015,East_2,Itaquera,ITAQUERA,Cidade Líder,Cidade_Lider,131477
2015,East_2,Cidade Tiradentes,CIDADE_TIRADENTES,Cidade Tiradentes,Cidade_Tiradentes,205661
2015,East_2,Ermelino Matarazzo,ERMELINO_MATARAZZO,Ermelino Matarazzo,Ermelino_Matarazzo,113745
2015,East_2,Guaianases,GUAIANASES,Guaianases,Guaianases,106546
2015,East_2,São Mateus,SAO_MATEUS,Iguatemi,Iguatemi,137210
2015,East_2,Itaim Paulista,ITAIM_PAULISTA,Itaim Paulista,Itaim_Paulista,217894
2015,East_2,Itaquera,ITAQUERA,Itaquera,Itaquera,208645
2015,East_2,São Miguel,SAO_MIGUEL,Jardim Helena,Jardim_Helena,133731
2015,East_2,Itaquera,ITAQUERA,José Bonifácio,Jose_Bonifacio,126721
2015,East_2,Guaianases,GUAIANASES,Lajeado,Lajeado,165607
2015,East_2,Itaquera,ITAQUERA,Parque do Carmo,Parque_do_Carmo,71382
2015,East_2,Ermelino Matarazzo,ERMELINO_MATARAZZO,Ponte Rasa,Ponte_Rasa,93274
2015,East_2,São Mateus,SAO_MATEUS,São Mateus,Sao_Mateus,156578
2015,East_2,São Miguel,SAO_MIGUEL,São Miguel,Sao_Miguel,88116
2015,East_2,São Mateus,SAO_MATEUS,São Rafael,Sao_Rafael,146287
2015,East_2,Itaim Paulista,ITAIM_PAULISTA,Vila Curuçá,Vila_Curuca,146982
2015,East_2,São Miguel,SAO_MIGUEL,Vila Jacuí,Vila_Jacui,140105
2015,North_1,Jaçanã/Tremembé,JACANA_TREMEMBE,Jaçanã,Jacana,92079
2015,North_1,Santana/Tucuruvi,SANTANA_TUCURUVI,Mandaqui,Mandaqui,107266
2015,North_1,Santana/Tucuruvi,SANTANA_TUCURUVI,Santana,Santana,118967
2015,North_1,Jaçanã/Tremembé,JACANA_TREMEMBE,Tremembé,Tremembe,197936
2015,North_1,Santana/Tucuruvi,SANTANA_TUCURUVI,Tucuruvi,Tucuruvi,100027
2015,North_1,Vila Maria/Vila Guilherme,VILA_MARIA_VILA_GUILHERME,Vila Guilherme,Vila_Guilherme,54237
2015,North_1,Vila Maria/Vila Guilherme,VILA_MARIA_VILA_GUILHERME,Vila Maria,Vila_Maria,111859
2015,North_1,Vila Maria/Vila Guilherme,VILA_MARIA_VILA_GUILHERME,Vila Medeiros,Vila_Medeiros,124741
2015,North_2,Perus,PERUS,Anhanguera,Anhanguera,69830
2015,North_2,Freguesia/Brasilândia,FREGUESIA_BRASILANDIA,Brasilândia,Brasilandia,257573
2015,North_2,Casa Verde/Cachoeirinha,CASA_VERDE_CACHOEIRINHA,Cachoeirinha,Cachoeirinha,144464
2015,North_2,Casa Verde/Cachoeirinha,CASA_VERDE_CACHOEIRINHA,Casa Verde,Casa_Verde,84552
2015,North_2,Freguesia/Brasilândia,FREGUESIA_BRASILANDIA,Freguesia do Ó,Freguesia_do_O,141910
2015,North_2,Pirituba/Jaraguá,PIRITUBA_JARAGUA,Jaraguá,Jaragua,196643
2015,North_2,Casa Verde/Cachoeirinha,CASA_VERDE_CACHOEIRINHA,Limão,Limao,81994
2015,North_2,Perus,PERUS,Perus,Perus,83717
2015,North_2,Pirituba/Jaraguá,PIRITUBA_JARAGUA,Pirituba,Pirituba,174500
2015,North_2,Pirituba/Jaraguá,PIRITUBA_JARAGUA,São Domingos,Sao_Domingos,87381
2015,West,,NAO_IDENTIFICADO,OESTE,OESTE,1060120
2015,West,Pinheiros,PINHEIROS,Alto de Pinheiros,Alto_de_Pinheiros,41493
2015,West,Lapa,LAPA,Barra Funda,Barra_Funda,22134
2015,West,Butantã,BUTANTA,Butantã,Butanta,53642
2015,West,Pinheiros,PINHEIROS,Itaim Bibi,Itaim_Bibi,96570
2015,West,Lapa,LAPA,Jaguara,Jaguara,25009
2015,West,Lapa,LAPA,Jaguaré,Jaguare,52344
2015,West,Pinheiros,PINHEIROS,Jardim Paulista,Jardim_Paulista,86423
2015,West,Lapa,LAPA,Lapa,Lapa,70511
2015,West,Butantã,BUTANTA,Morumbi,Morumbi,45993
2015,West,Lapa,LAPA,Perdizes,Perdizes,108575
2015,West,Pinheiros,PINHEIROS,Pinheiros,Pinheiros,65572
