Ano,Subprefeitura,Subprefeitura_Padronizada,Distrito_Admin,Distrito_Admin_Padronizados,Sexo,0a4,5a9,10a14,15a19,20a24,25a29,30a34,35a39,40a44,45a49,50a54,50a59,60a64,60a69,70a74,75e,total,Origem,Arquivo
2015,Mooca,MOOCA,Água Rasa,Agua_Rasa,masculino,2120,2160,2202,2309,2873,3266,3238,3151,3069,2607,2888,2580,2084,1592,1325,2202,39666,populacao_seade-sp_2000a2024,populacao_seade-sp_2000a2024_masculino_2015.csv
2015,Pinheiros,PINHEIROS,Alto de Pinheiros,Alto_de_Pinheiros,masculino,732,897,927,948,1315,1386,1279,1461,1324,1229,1426,1239,1164,942,847,1534,18650,populacao_seade-sp_2000a2024,populacao_seade-sp_2000a2024_masculino_2015.csv
2015,Perus,PERUS,Anhanguera,Anhanguera,masculino,2181,2673,2981,3203,3552,3311,2722,2646,2817,2674,2018,1413,932,551,299,269,34242,populacao_seade-sp_2000a2024,populacao_seade-sp_2000a2024_masculino_2015.csv
2015,Aricanduva/Formosa/Carrão,ARICANDUVA_FORMOSA_CARRAO,Aricanduva,Aricanduva,masculino,2345,2706,2958,3054,3527,3701,3468,3189,3205,3004,2707,2415,1902,1508,1265,1717,42671,populacao_seade-sp_2000a2024,populacao_seade-sp_2000a2024_masculino_2015.csv
2015,Penha,PENHA,Artur Alvim,Artur_Alvim,masculino,2693,3135,3320,3451,4037,4182,4198,4020,3710,3001,2938,2405,2074,1591,1302,1617,47674,populacao_seade-sp_2000a2024,populacao_seade-sp_2000a2024_masculino_2015.csv
2015,Lapa,LAPA,Barra Funda,Barra_Funda,masculino,635,551,530,480,709,840,947,928,886,649,596,582,474,375,282,465,9929,populacao_seade-sp_2000a2024,populacao_seade-sp_2000a2024_masculino_2015.csv
2015,Sé,SE,Bela Vista,Bela_Vista,masculino,1640,1349,1242,1185,1830,3378,3988,3456,2708,2165,1957,1632,1404,1075,837,1233,31079,populacao_seade-sp_2000a2024,populacao_seade-sp_2000a2024_masculino_2015.csv
2015,Mooca,MOOCA,Belém,Belem,masculino,1889,1464,1353,1263,1631,2265,2418,2141,1889,1445,1445,1216,1040,716,503,968,23646,populacao_seade-sp_2000a2024,populacao_seade-sp_2000a2024_masculino_2015.csv
2015,Sé,SE,Bom Retiro,Bom_Retiro,masculino,1191,1077,1078,1028,1364,1719,1588,1500,1206,1019,883,774,611,415,330,542,16325,populacao_seade-sp_2000a2024,populacao_seade-sp_2000a2024_masculino_2015.csv
2015,Mooca,MOOCA,Brás,Bras,masculino,1334,1000,1007,955,1308,1689,1700,1529,1391,1095,942,797,584,456,318,341,16446,populacao_seade-sp_2000a2024,populacao_seade-sp_2000a2024_masculino_2015.csv
2015,Freguesia/Brasilândia,FREGUESIA_BRASILANDIA,Brasilândia,Brasilandia,masculino,9652,9692,10872,10952,11823,11361,10245,9167,8832,7845,6416,5157,3833,2699,1850,2162,122558,populacao_seade-sp_2000a2024,populacao_seade-sp_2000a2024_masculino_2015.csv
2015,Butantã,BUTANTA,Butantã,Butanta,masculino,1197,1283,1247,1181,1641,2480,2566,2253,1932,1640,1613,1446,1283,1041,854,1439,25096,populacao_seade-sp_2000a2024,populacao_seade-sp_2000a2024_masculino_2015.csv
